admin_name,admin_level,feature_id,mean,median,count,sum
RWA.1.2.2.1_1,cell_id,76,0.0,0.0,120,0.0
RWA.1.2.2.2_1,cell_id,77,0.0,0.0,154,0.0
RWA.1.2.2.3_1,cell_id,78,0.0,0.0,176,0.0
RWA.1.2.2.4_1,cell_id,79,0.0,0.0,104,0.0
RWA.1.2.3.1_1,cell_id,80,0.15473488,0.0,54,8.355683
RWA.1.2.3.2_1,cell_id,81,0.14066964,0.0,64,9.002857
RWA.1.2.3.3_1,cell_id,82,0.026166275,0.0,42,1.0989835
RWA.1.2.3.4_1,cell_id,83,0.0,0.0,72,0.0
RWA.1.2.3.5_1,cell_id,84,0.0,0.0,56,0.0
RWA.1.2.4.1_1,cell_id,85,0.09746952,0.0,100,9.746952
RWA.1.2.4.2_1,cell_id,86,0.004541706,0.0,110,0.49958766
RWA.1.2.4.3_1,cell_id,87,0.010740787,0.0,128,1.3748207
RWA.1.2.4.4_1,cell_id,88,0.3522899,0.0,104,36.63815
RWA.1.2.5.1_1,cell_id,89,0.15415348,0.0,110,16.956882
RWA.1.2.5.2_1,cell_id,90,0.04415831,0.0,70,3.0910816
RWA.1.2.5.3_1,cell_id,91,0.0,0.0,96,0.0
RWA.1.2.5.4_1,cell_id,92,0.13080455,0.0,81,10.595169
RWA.1.2.5.5_1,cell_id,93,0.29643476,0.0,110,32.607822
RWA.1.2.6.1_1,cell_id,94,0.0069803474,0.0,88,0.61427057
RWA.1.2.6.2_1,cell_id,95,0.006249083,0.0,72,0.44993398
RWA.1.2.6.3_1,cell_id,96,0.029196816,0.0,60,1.7518089
RWA.1.2.6.4_1,cell_id,97,0.0,0.0,108,0.0
RWA.1.2.7.1_1,cell_id,98,0.0,0.0,90,0.0
RWA.1.2.7.2_1,cell_id,99,0.0,0.0,120,0.0
RWA.1.2.7.3_1,cell_id,100,0.0,0.0,84,0.0
RWA.1.2.7.4_1,cell_id,101,0.0,0.0,99,0.0
RWA.1.2.8.1_1,cell_id,102,0.102688655,0.0,112,11.501129
RWA.1.2.8.2_1,cell_id,103,0.0,0.0,88,0.0
RWA.1.2.8.3_1,cell_id,104,0.038560078,0.0,60,2.3136046
RWA.1.2.9.1_1,cell_id,105,0.05109363,0.0,80,4.0874906
RWA.1.2.9.2_1,cell_id,106,0.19742039,0.0,56,11.055542
RWA.1.2.9.3_1,cell_id,107,0.05775872,0.0,80,4.6206975
RWA.1.2.9.4_1,cell_id,108,0.0954833,0.0,104,9.9302635
RWA.1.2.9.5_1,cell_id,109,0.23987478,0.0,60,14.392487
RWA.1.2.10.1_1,cell_id,110,0.0,0.0,100,0.0
RWA.1.2.10.2_1,cell_id,111,0.0,0.0,132,0.0
RWA.1.2.10.3_1,cell_id,112,0.0,0.0,120,0.0
RWA.1.2.11.1_1,cell_id,113,0.0,0.0,132,0.0
RWA.1.2.11.2_1,cell_id,114,0.0,0.0,96,0.0
RWA.1.2.11.3_1,cell_id,115,0.0,0.0,156,0.0
RWA.1.2.11.4_1,cell_id,116,0.0,0.0,143,0.0
RWA.1.2.12.1_1,cell_id,117,0.0,0.0,42,0.0
RWA.1.2.12.2_1,cell_id,118,0.0,0.0,42,0.0
RWA.1.2.12.3_1,cell_id,119,0.0,0.0,49,0.0
RWA.1.2.12.4_1,cell_id,120,0.0,0.0,48,0.0
RWA.1.2.12.5_1,cell_id,121,0.0,0.0,54,0.0
RWA.1.2.12.6_1,cell_id,122,0.0,0.0,40,0.0
RWA.1.2.12.7_1,cell_id,123,0.0,0.0,35,0.0
RWA.1.2.13.1_1,cell_id,124,0.056233242,0.0,100,5.6233244
RWA.1.2.13.2_1,cell_id,125,0.21269801,0.0,63,13.399975
RWA.1.2.13.3_1,cell_id,126,0.0,0.0,56,0.0
RWA.1.2.13.4_1,cell_id,127,0.0,0.0,63,0.0
RWA.1.2.13.5_1,cell_id,128,0.0,0.0,77,0.0
RWA.1.2.13.6_1,cell_id,129,0.009387628,0.0,66,0.6195835
RWA.1.2.13.7_1,cell_id,130,0.0,0.0,91,0.0
RWA.1.2.13.8_1,cell_id,131,0.016491085,0.0,90,1.4841976
RWA.1.2.13.9_1,cell_id,132,0.0,0.0,54,0.0
RWA.1.2.14.1_1,cell_id,133,0.0,0.0,110,0.0
RWA.1.2.14.2_1,cell_id,134,0.0,0.0,72,0.0
RWA.1.2.14.3_1,cell_id,135,0.0,0.0,56,0.0
RWA.1.2.14.4_1,cell_id,136,0.0,0.0,60,0.0
RWA.1.2.14.5_1,cell_id,137,0.0,0.0,84,0.0
RWA.1.2.15.1_1,cell_id,138,0.0,0.0,99,0.0
RWA.1.2.15.2_1,cell_id,139,0.0,0.0,77,0.0
RWA.1.2.15.3_1,cell_id,140,0.0,0.0,88,0.0
RWA.1.2.15.4_1,cell_id,141,0.0,0.0,140,0.0
RWA.1.2.15.5_1,cell_id,142,0.0,0.0,110,0.0
RWA.1.2.16.1_1,cell_id,143,0.2645242,0.0,50,13.22621
RWA.1.2.16.2_1,cell_id,144,0.4868887,0.61234164,30,14.606661
RWA.1.2.16.3_1,cell_id,145,0.16106153,0.0,91,14.656599
RWA.1.2.16.4_1,cell_id,146,0.07430331,0.0,84,6.241478
